ch0_mean,ch0_std,ch0_range,ch0_delta,ch0_theta,ch0_alpha,ch0_beta,ch0_gamma,ch0_beta_alpha_ratio,ch0_theta_alpha_ratio,ch1_mean,ch1_std,ch1_range,ch1_delta,ch1_theta,ch1_alpha,ch1_beta,ch1_gamma,ch1_beta_alpha_ratio,ch1_theta_alpha_ratio,ch2_mean,ch2_std,ch2_range,ch2_delta,ch2_theta,ch2_alpha,ch2_beta,ch2_gamma,ch2_beta_alpha_ratio,ch2_theta_alpha_ratio,ch3_mean,ch3_std,ch3_range,ch3_delta,ch3_theta,ch3_alpha,ch3_beta,ch3_gamma,ch3_beta_alpha_ratio,ch3_theta_alpha_ratio,ch4_mean,ch4_std,ch4_range,ch4_delta,ch4_theta,ch4_alpha,ch4_beta,ch4_gamma,ch4_beta_alpha_ratio,ch4_theta_alpha_ratio,label
-52.997589111328125,44.92668052941777,263.18359375,0.0,414.31963663162367,207.33728969884132,124.75462205182987,326.6200970008202,0.6016989140401937,1.9982880900653495,-25.440216064453125,14.125365544193741,69.82421875,0.0,17.946457456000154,11.585951727980767,46.55636981042686,35.940438780611586,4.018346606605519,1.548984311116918,-43.02215576171875,18.307823932363657,111.81640625,0.0,41.36848709303661,33.16115220562587,70.4238459463249,26.729037543454414,2.123685133424807,1.2474984836630119,-97.42355346679688,40.193954313395665,203.61328125,0.0,422.5972439341177,208.07388533685574,94.47756857576141,39.584064875996496,0.4540577902066347,2.0309960726208627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-52.951812744140625,45.21340883230471,263.18359375,0.0,339.3032025127091,155.26128624869813,193.7866839785048,300.43069024777463,1.2481326714509924,2.185369004152213,-26.027679443359375,14.683181071101862,73.2421875,0.0,20.770993364143465,10.8380702586047,41.40443110374054,46.867922167186556,3.8202770526301215,1.9164844726534864,-43.140411376953125,19.731976912690385,111.81640625,0.0,29.59038929637049,19.728624034369428,82.41822246213746,53.266591856159685,4.177596081640355,1.4998709106535146,-92.53692626953125,43.05739294936226,238.76953125,0.0,398.54270322610057,170.66625565045467,105.28020368002805,56.97557719960834,0.6168776790630174,2.335216775613597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-56.2591552734375,47.44536130507855,253.90625,0.0,409.965206418193,226.71570010692153,305.55430335419646,347.0942875575524,1.3477421422958085,1.8082788541986685,-26.935577392578125,19.72736860684295,146.484375,0.0,27.026323114737046,16.712613611074364,79.20538917777972,97.5381028975604,4.739258085000867,1.6171212799910875,-40.3594970703125,33.055055966281195,248.53515625,0.0,58.081188022605325,48.80276268363477,184.88100929476946,111.87910824749787,3.788330806050174,1.1901209035873277,-87.4481201171875,47.3797735032172,248.046875,0.0,443.8498551779519,220.69760168459507,211.7276220068965,173.94465931383823,0.9593562430709246,2.011122240522893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-57.88421630859375,47.64128666517885,253.41796875,0.0,250.9118594210394,166.59620814065113,409.60325341332543,245.7067547393734,2.4586589213814056,1.5061078653675215,-26.34429931640625,21.276496483668232,149.4140625,0.0,25.485130427355102,12.379734496187682,111.44803480191237,173.7943392987798,9.002457591980878,2.058616881905117,-27.51922607421875,56.75681247785194,396.484375,0.0,209.0656163465327,92.33089334437952,330.7999277436943,262.77364982197264,3.582765375288456,2.26430838881577,-95.84808349609375,56.51606179377192,346.19140625,0.0,426.21729285805907,166.13306167620746,295.2935227412005,170.14039067384397,1.7774518796067584,2.5655175950994904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-65.032958984375,50.42984308681229,249.51171875,0.0,167.00614919263472,186.22553719679524,442.6993093827788,198.04770208421456,2.3772212772029913,0.8967950996760972,-21.755218505859375,25.89184481465479,185.546875,0.0,44.23473194518599,13.674342525238004,81.78787848671202,145.96925035099903,5.9811196286593304,3.234870843957895,3.116607666015625,105.9500014455095,535.15625,0.0,661.6348660116613,104.00022100626873,241.39147008977767,338.5735628335572,2.321066895379266,6.361860192314212,-132.22885131835938,128.59878659080738,675.29296875,0.0,1074.829224111998,160.010130257719,241.65769983976406,159.18656337697644,1.5102650029128786,6.717257353524012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-60.4705810546875,44.56634132269517,227.05078125,0.0,229.0457808420136,195.1198652226834,408.6658485347581,234.2777357892437,2.0944348647861264,1.1738721763702111,-15.415191650390625,29.329706461960992,189.453125,0.0,58.93164196775045,14.646009524817165,108.29133199221556,168.24944270163104,7.393913803532599,4.023733691275619,50.846099853515625,174.8948996187481,710.9375,0.0,2329.8428137830533,304.4595159417529,355.43457442111276,458.793401764025,1.1674280349611803,7.6523895355229525,-146.1639404296875,157.01614465583853,742.1875,0.0,3654.6896950921473,879.8412616403838,369.42561369016835,256.0911797298494,0.4198775731447375,4.153805753867819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-72.94845581054688,82.90794962368942,590.8203125,0.0,226.19780138603437,210.2193610844451,508.4662337980548,369.26238838764215,2.4187412195292706,1.0760084143494792,-16.986846923828125,44.49821436136635,380.859375,0.0,91.5319681722414,18.356883968102615,136.4074330211939,232.81074451447688,7.430859902923552,4.986247575094426,104.05349731445312,224.9164790519861,861.328125,0.0,3850.264024522239,570.5643924446714,466.2523800840687,496.1835063792523,0.8171774934750805,6.748167385674362,-169.4793701171875,212.76475910646633,1112.79296875,0.0,6346.229898758307,3778.78034981015,617.5470660026555,297.76081210675324,0.16342497018480626,1.6794386842508984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-142.547607421875,226.80062695631344,958.49609375,0.0,2836.116330830996,836.8309500344612,666.5981350812235,340.49636816852365,0.7965744276711713,3.389115006697832,-64.85366821289062,159.58965414941625,671.875,0.0,1913.8878998966477,333.67698886225526,270.179551903278,181.01465832333326,0.809703878066373,5.735750332746851,140.70510864257812,232.3924196423145,861.328125,0.0,3763.7799091538545,564.0807388296008,505.78733424643394,583.5818813518571,0.8966576935349386,6.6724134508886825,-212.50534057617188,266.2012752838236,1144.04296875,0.0,8049.980977424365,10569.502105245247,1292.3029878172051,275.17405760660785,0.12226715837218895,0.7616234802043761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-170.196533203125,239.03638558401022,958.49609375,0.0,12278.103980185228,5620.285408893079,849.1442579472196,264.37475090262205,0.15108561152492422,2.184605066631912,-75.1800537109375,168.08599923616092,694.82421875,0.0,7323.198043229928,3545.9205934804763,662.1573416556387,217.58666770391665,0.18673778055636103,2.0652459213819814,210.88409423828125,276.3563850527551,954.1015625,0.0,3499.713970730095,1125.6821438180518,1594.4568583382322,970.6430087818183,1.4164361290570051,3.108971737669996,-181.76651000976562,296.63737252133484,1284.1796875,0.0,18764.00937945186,23844.807127543914,1900.7525979109596,285.5295448524275,0.07971348175491587,0.7869222543543639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-155.517578125,250.80756052392485,1127.44140625,0.0,21886.53203002891,10303.976906860804,691.5437042330261,353.69192170539793,0.06711425214594265,2.1240858969177205,-65.06729125976562,173.83221017230954,720.703125,0.0,13138.787277886171,7081.770180600796,615.5392601497143,250.14629930360377,0.08691884153991196,1.8552970433688256,235.2752685546875,267.56728239088784,954.1015625,0.0,5324.343768792749,3563.794002048614,1625.5409196700011,743.3070341136105,0.4561265097633516,1.4940099696368812,-151.51596069335938,320.40016532299694,1288.57421875,0.0,38390.1673666249,32438.86966915468,2119.927008761549,293.8570831358197,0.06535144505288776,1.1834619318788768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
